,user_followers,user_friends,user_favourites,user_verified,Sentiment
355,3727.0,74.0,76162.0,0,1
356,12.0,76.0,1072.0,0,1
357,4344.0,3.0,132.0,0,1
358,204.0,72.0,1.0,0,0
359,35.0,75.0,1499.0,0,1
360,66.0,364.0,3908.0,0,1
361,2141.0,1080.0,7306.0,0,1
362,439.0,1.0,6.0,0,1
363,6180.183566116452,1.0,1.0,0,2
364,42.0,201.0,12050.0,0,1
365,149.0,358.0,159.0,0,1
366,135.0,485.0,9513.0,0,1
367,68.0,5.0,1.0,0,1
368,609.0,601.0,3.0,0,1
369,154.0,40.0,788.0,0,1
370,3309.0,1976.0,201.0,0,2
371,6782.0,6113.0,199.0,0,0
372,6180.183566116452,1454.0,33.0,0,1
373,19114.0,511.0,328.0,0,1
374,6356.0,387.0,9476.0,0,1
375,3910.0,1.0,10.0,0,1
376,259.0,774.0,23448.0,0,2
377,1281.0,25.0,72.0,0,1
378,320.0,16.0,5624.0,0,0
379,128.0,130.0,11247.0,0,2
380,3309.0,1976.0,201.0,0,1
381,3331.0,28.0,3947.0,0,2
382,57.0,255.0,830.0,0,1
383,5366.0,927.0,415.5,0,1
384,204.0,72.0,1.0,0,1
385,69.0,78.0,2653.0,0,1
386,6180.183566116452,25.0,72.0,0,1
387,153.0,0.0,0.0,0,2
388,320.0,16.0,5624.0,0,2
389,5978.0,6557.0,9092.0,0,1
390,4150.0,0.0,1802.0,0,0
391,2213.0,2662.0,2046.0,0,1
392,9798.0,3337.0,193.0,0,1
393,628.0,307.0,6736.0,0,1
394,1.0,19.0,12.0,0,2
395,525.0,1349.0,163.0,0,1
396,268.0,782.0,11805.0,0,1
397,3508.0,0.0,0.0,0,1
398,4154.0,76.0,45.0,0,1
399,2158.0,1.0,3.0,0,1
400,1094.0,161.0,59.0,0,1
401,1.0,0.0,0.0,0,2
402,670.0,92.0,375.0,0,1
403,5366.0,927.0,34484.0,0,1
404,384.0,292.0,935.0,0,1
405,42.0,201.0,12050.0,0,1
